Name,Straße,Straße2,PLZ,Stadt,Telefon,Land,Bankleitzahl (BIC)
Bank Avera Genossenschaft,Goethestrasse 18,,8001,Zürich,044 250 64 00,Schweiz,RBABCH22850
Bank BSU Genossenschaft,Bankstrasse 21,Postfach,8610,Uster 1,044 777 07 77,Schweiz,RBABCH22888
Bank BSU Genossenschaft,Bankstrasse 21,Postfach,8610,Uster 1,044 777 07 77,Schweiz,RBABCH22888
Bank BSU Genossenschaft,Bahnhofstrasse 36,Postfach,8600,Dübendorf,044 777 07 77,Schweiz,RBABCH22888
Bank BSU Genossenschaft,Lindenstrasse 7,,8604,Volketswil,044 777 07 77,Schweiz,RBABCH22888
Bank CIC (SCHWEIZ) AG,Marktplatz 13,,4001,Basel,061 264 12 00,Schweiz,CIALCHBBXXX
Bank CIC (SCHWEIZ) AG,Marktplatz 13,,4001,Basel,061 264 12 00,Schweiz,CIALCHBBXXX
Bank CIC (SCHWEIZ) AG,Schützengasse 30,Postfach 3856,8021,Zürich,044 225 22 11,Schweiz,CIALCHBBXXX
Bank CIC (SCHWEIZ) AG,Poststrasse 17,Postfach 330,9001,St. Gallen,071 530 39 00,Schweiz,CIALCHBBXXX
Bank CIC (SCHWEIZ) AG,CIC-Group,Postfach,4001,Basel,061 264 12 00,Schweiz,CIALCHBBXXX
Bank Cler AG,,Postfach,4002,Basel,061 286 21 21,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,4002,Basel,061 286 21 21,Schweiz,BCLRCHBBXXX
Bank Cler AG,Gundeldingen,Postfach,4018,Basel,061 366 58 58,Schweiz,BCLRCHBBXXX
Bank Cler AG,Kleinbasel,Postfach,4005,Basel,061 681 00 44,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,3001,Bern,031 327 75 75,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,3601,Thun,033 225 36 36,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,2501,Biel/Bienne,032 328 81 81,Schweiz,BCLRCHBBXXX
Bank Cler AG,Westbahnhofstrasse 1,,4500,Solothurn,032 626 50 50,Schweiz,BCLRCHBBXXX
Bank Cler AG,Neumarkt 2,Postfach,5201,Brugg AG,056 461 74 74,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,5001,Aarau,062 836 40 80,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,2001,Neuchâtel,032 722 59 59,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,2301,"Chaux-de-Fonds, La",032 910 93 93,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,2800,Delémont 1,032 422 22 71,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,1204,Genève 3,022 818 44 44,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale 5783,1002,Lausanne,021 310 63 11,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,1951,Sion/Sitten,027 327 44 20,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,1800,Vevey 1,021 925 93 20,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Case postale,1401,Yverdon-les-Bains,024 425 51 88,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Casella postale,6901,Lugano,091 911 31 11,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,6002,Luzern,041 226 46 46,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,4600,Olten,062 205 25 25,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,8201,Schaffhausen,052 632 32 32,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,8400,Winterthur,052 269 12 22,Schweiz,BCLRCHBBXXX
Bank Cler AG,Uraniastrasse 6,Postfach 3830,8021,Zürich,044 218 63 11,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,8645,Jona,055 212 21 71,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,6301,Zug,041 710 85 35,Schweiz,BCLRCHBBXXX
Bank Cler AG,Wiedikon,Postfach,8055,Zürich,044 463 10 22,Schweiz,BCLRCHBBXXX
Bank Cler AG,Oerlikon,Postfach,8050,Zürich,044 317 28 28,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Casella postale,6501,Bellinzona,091 820 60 20,Schweiz,BCLRCHBBXXX
Bank Cler AG,,Postfach,9001,St. Gallen,071 227 65 65,Schweiz,BCLRCHBBXXX
Bank Cler AG,Masanserstrasse 17,,7001,Chur,081 258 38 48,Schweiz,BCLRCHBBXXX
Bank Cler AG,"35, Rue de Romont",,1701,Fribourg,026 347 45 60,Schweiz,BCLRCHBBXXX
Bank EEK AG,Amthausgasse 14 / Marktgasse 19,Postfach,3001,Bern,031 310 52 52,Schweiz,EEKBCH22XXX
Bank EEK AG,Amthausgasse 14 / Marktgasse 19,Postfach,3001,Bern,031 310 52 52,Schweiz,EEKBCH22XXX
Bank EKI Genossenschaft,Rosenstrasse 1,Postfach,3800,Interlaken,033 826 17 71,Schweiz,EKIICH22XXX
Bank EKI Genossenschaft,Rosenstrasse 1,Postfach,3800,Interlaken,033 826 17 71,Schweiz,EKIICH22XXX
Bank Frick & Co. AG,Landstrasse 8,Postfach 43,9496,Balzers,388 21 21,Schweiz,BFRILI22XXX
Bank Frick & Co. AG,Landstrasse 8,Postfach 43,9496,Balzers,388 21 21,Schweiz,BFRILI22XXX
"Bank für Tirol und Vorarlberg Aktiengesellschaft, Innsbruck",Hauptstrasse 19,,9422,Staad SG,071 858 10 10,Schweiz,BTVACH22XXX
"Bank für Tirol und Vorarlberg Aktiengesellschaft, Innsbruck",Hauptstrasse 19,,9422,Staad SG,071 858 10 10,Schweiz,BTVACH22XXX
Bank Gantrisch Genossenschaft,Bahnhofstrasse 2,Postfach 14,3150,Schwarzenburg,031 734 20 20,Schweiz,BGAGCH22XXX
Bank Gantrisch Genossenschaft,Bahnhofstrasse 2,Postfach 14,3150,Schwarzenburg,031 734 20 20,Schweiz,BGAGCH22XXX
Bank in Zuzwil,Mitteldorfstrasse 48,Postfach,9524,Zuzwil SG,071 944 15 51,Schweiz,RBABCH22964
Bank in Zuzwil,Mitteldorfstrasse 48,Postfach,9524,Zuzwil SG,071 944 15 51,Schweiz,RBABCH22964
Bank J. Safra Sarasin AG,Elisabethenstrasse 62,Postfach,4002,Basel,061 277 77 77,Schweiz,SARACHBBXXX
